"","orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","parent_no","reference_no","is_extant","n_occs","phylum","class","order","family","genus","type_taxon","realm","is_ectinct"
"1",2894,2894,"txn",,"phylum","Porifera",67091,6930,"extant",24327,"Porifera",,,,,,"marine",
"2",342809,342809,"txn",,"phylum","Proarticulata",67091,5229,"extinct",80,"Proarticulata",,,,,,"marine",
"3",7285,7285,"txn",,"phylum","Problematica",67091,71641,"extinct",2200,"Problematica",,,,,,"marine",
"4",6994,6994,"txn",,"phylum","Ctenophora",67102,6930,"extant",42,"Ctenophora",,,,,,"marine",
"5",4524,4524,"txn",,"phylum","Cnidaria",67091,6930,"extant",70686,"Cnidaria",,,,,,"marine",
"6",33518,33518,"txn",,"phylum","Hemichordata",67147,6930,"extant",8098,"Hemichordata",,,,,,"marine",
"7",30739,30739,"txn",,"phylum","Echinodermata",67147,17459,"extant",34336,"Echinodermata",,,,,,"marine",
"8",30727,30727,"txn",,"phylum","Chaetognatha",481410,6930,"extant",299,"Chaetognatha",,,,,,"marine",
"9",7629,7629,"txn",,"phylum","Hyolitha",67151,31628,"extinct",2383,"Hyolitha",,,,,,"marine",
"10",24773,24773,"txn",,"phylum","Bryozoa",67151,6930,"extant",30878,"Bryozoa",,,,,,"marine",
"11",26322,26322,"txn",,"phylum","Brachiopoda",481637,6930,"extant",187130,"Brachiopoda",,,,,,"marine",
"12",26320,26320,"txn",,"phylum","Entoprocta",96201,6930,"extant",7,"Entoprocta",,,,,,"marine",
"13",67166,67166,"txn",,"phylum","Sipuncula",272903,14206,"extant",8,"Sipuncula",,,,,,"marine",
"14",67126,272409,"txn",,"phylum","Scalidophora",67124,47384,"extant",390,"Scalidophora",,,,,,"marine",
"15",7002,7002,"txn",,"phylum","Priapulida",67126,6930,"extant",384,"Priapulida",,,,,,"marine",
"16",146770,465785,"txn","","class","Archaeocyatha",2894,77251,"extant",4655,"Porifera","Archaeocyatha",,,,,"marine",
"17",352167,352167,"txn","","class","Leptocardii",34104,62148,"extant",0,"Chordata","Leptocardii",,,,,"marine",
"18",91601,91601,"txn","","class","Ascidiacea",34108,19548,"extant",28,"Chordata","Ascidiacea",,,,,"marine",
"19",463796,463796,"txn","","class","Thaliacea",91601,75949,"extant",0,"Chordata","Thaliacea",,,,,"marine",
"20",425117,425117,"txn","","class","Banffozoa",33815,73557,"extinct",7,"Chordata","Banffozoa",,,,,"marine",
"21",401644,401645,"txn","","class","Myxini",389304,58890,"extant",4,"Chordata","Myxini",,,,,"marine",
"22",119273,119273,"txn","","class","Tentaculita",96201,26675,"extinct",2349,"Lophotrochozoa","Tentaculita",,,,,"marine",
"23",8166,8166,"txn","","class","Scaphopoda",7805,6930,"extant",3842,"Mollusca","Scaphopoda",,,,,"marine",
"24",7847,7847,"txn","","class","Helcionelloida",7805,6930,"",1987,"Mollusca","Helcionelloida",,,,,"marine",
"25",12315,12315,"txn","","class","Cephalopoda",7805,6930,"extant",111447,"Mollusca","Cephalopoda",,,,,"marine",
"26",7806,7806,"txn","","class","Tergomya",7805,16029,"extant",959,"Mollusca","Tergomya",,,,,"marine",
"27",57663,57663,"txn","","class","Monoplacophora",106727,13192,"extant",9,"Mollusca","Monoplacophora",,,,,"marine",
"28",8023,8023,"txn","","class","Polyplacophora",106727,6930,"extant",598,"Mollusca","Polyplacophora",,,,,"marine",
"29",8268,8268,"txn","","class","Paragastropoda",7805,13136,"",122,"Mollusca","Paragastropoda",,,,,"marine",
"30",8123,8123,"txn","","class","Rostroconchia",7805,18249,"extant",938,"Mollusca","Rostroconchia",,,,,"marine",
"31",65472,65472,"txn","","class","Stenothecoida",481637,13234,"",49,"Lophotrochozoa","Stenothecoida",,,,,"marine",
"32",133214,444004,"txn","","class","Thecostraca",82629,63922,"extant",1867,"Arthropoda","Thecostraca",,,,,"marine",
"33",22067,22067,"txn","","class","Thylacocephala",304350,6930,"",61,"Arthropoda","Thylacocephala",,,,,"marine",
"34",19026,19026,"txn","","class","Merostomoidea",18891,6930,"",0,"Arthropoda","Merostomoidea",,,,,"marine",
"35",19041,19041,"txn","","class","Marrelomorpha",18891,63850,"extinct",0,"Arthropoda","Marrelomorpha",,,,,"marine",
"36",19015,19015,"txn","","class","Pycnogonida",18891,6930,"extant",15,"Arthropoda","Pycnogonida",,,,,"marine",
"37",463993,463993,"txn","","class","Marrellomorpha",18891,63850,"extinct",37,"Arthropoda","Marrellomorpha",,,,,"marine",
"38",308386,308386,"txn","","class","Artiopoda",18891,53237,"extant",61712,"Arthropoda","Artiopoda",,,,,"marine",
"39",19100,19100,"txn","","class","Trilobita",308386,6930,"extant",54902,"Arthropoda","Trilobita",,,,,"marine",
"40",142293,166218,"txn","","class","Xiphosura",286968,12074,"extant",254,"Arthropoda","Xiphosura",,,,,"marine",
"41",22211,22211,"txn","","class","Remipedia",424441,6930,"extant",3,"Arthropoda","Remipedia",,,,,"marine",
"42",133211,133211,"txn","","class","Cephalocarida",424436,12066,"extant",2,"Arthropoda","Cephalocarida",,,,,"marine",
"43",167458,167458,"txn","","class","Megacheira",465298,32720,"",121,"Arthropoda","Megacheira",,,,,"marine",
"44",19023,19023,"txn","","class","Paratrilobita",18891,6930,"",0,"Arthropoda","Paratrilobita",,,,,"marine",
"45",69587,69587,"txn","","class","Bacillariophyceae",432613,15475,"extant",33308,"Ochrophyta","Bacillariophyceae",,,,,"marine",
"46",755,755,"txn","","class","Rhizopodea",71297,6930,"extant",804,"NO_PHYLUM_SPECIFIED","Rhizopodea",,,,,"marine",
"47",71293,71293,"txn","V","class","Granuloreticulosea",755,85136,"extant",2,"Granuloreticulosa","",,,,,"marine",
"48",8515,8515,"txn","","order","Archaeogastropoda",89047,6930,"extant",132,"Mollusca","Gastropoda","Archaeogastropoda",,,,"marine",
"49",8431,8431,"txn","","order","Euomphalina",60245,15596,"extinct",6690,"Mollusca","Gastropoda","Euomphalina",,,,"marine",
"50",58517,346864,"txn","","order","Pleurotomariida",58775,15836,"extant",4,"Mollusca","Gastropoda","Pleurotomariida",,,,"marine",
"51",8305,8305,"txn","","order","Bellerophontida",8304,6930,"extinct",5178,"Mollusca","Gastropoda","Bellerophontida",,,,"marine",
"52",97194,206526,"txn","","order","Nuculanida",204900,38358,"extant",9192,"Mollusca","Bivalvia","Nuculanida",,,,"marine",
"53",16149,16149,"txn","","order","Solemyoida",83704,6930,"extant",0,"Mollusca","Bivalvia","Solemyoida",,,,"marine",
"54",17177,244214,"txn","","order","Trigoniida",61563,38358,"extant",6417,"Mollusca","Bivalvia","Trigoniida",,,,"marine",
"55",244360,244360,"txn","","order","Cardiida",400194,38358,"extant",19053,"Mollusca","Bivalvia","Cardiida",,,,"marine",
"56",18524,244354,"txn","","order","Hippuritida",244338,28394,"extant",5113,"Mollusca","Bivalvia","Hippuritida",,,,"marine",
