"orig_no","accepted_no","record_type","accepted_rank","taxon_name","taxon_attr","parent_no","reference_no","is_extant","n_occs","phylum","class","order","family","accepted_name","type_taxon","firstapp_max_ma","firstapp_min_ma","lastapp_max_ma","lastapp_min_ma","early_interval","late_interval","genus_name","genus_no"
"28469","28469","txn","genus","Cryptopora","Jeffreys 1869","104323","6930","extant",44,"Brachiopoda","Rhynchonellata","Rhynchonellida","Cryptoporidae","Cryptopora","Cryptopora gnomon",66,61.66,5.333,3.6,"Danian","Zanclean","Cryptopora","28469"
"433","433","txn","genus","Bernoullius","Baumgartner 1984","85025","6930","extinct",157,"Radiozoa","Polycystinea","Spumellaria","Gomberellidae","Bernoullius",,184.2,182.9,125.77,119.57,"Toarcian","Aptian","Bernoullius","433"
"413","413","txn","genus","Alievium","Pessagno 1972","65971","6930","extinct",201,"Radiozoa","Polycystinea","Spumellaria","Pseudoaulophacidae","Alievium",,201.4,199.5,83.6,72.2,"Hettangian","Campanian","Alievium","413"
"503","503","txn","genus","Didymocyrtis","Haeckel 1862","84737","6930","extant",1441,"Radiozoa","Polycystinea","Spumellaria","Coccodiscidae","Didymocyrtis",,37.71,27.3,0.0117,0,"Priabonian","Holocene","Didymocyrtis","503"
"408","408","txn","genus","Acotripus",,"402","6930","extinct",0,"Radiozoa","Polycystinea","Nassellaria","NO_FAMILY_SPECIFIED","Acotripus",,,,,,,,"Acotripus","408"
"453","453","txn","genus","Canutus","Pessagno and Whalen 1982","64674","6930","extinct",356,"Radiozoa","Polycystinea","Nassellaria","Bagotidae","Canutus",,227.3,205.7,143.1,141,"Norian","Berriasian","Canutus","453"
"429","429","txn","genus","Bagotum","Pessagno and Whalen 1982","64674","8792","extinct",109,"Radiozoa","Polycystinea","Nassellaria","Bagotidae","Bagotum",,201.4,199.5,143.1,137.05,"Hettangian","Berriasian","Bagotum","429"
"506","506","txn","genus","Droltus","Pessagno and Whalen 1982","64674","8792","extinct",233,"Radiozoa","Polycystinea","Nassellaria","Bagotidae","Droltus","Droltus lyellensis",205.7,201.4,143.1,141,"Rhaetian","Berriasian","Droltus","506"
"442","442","txn","genus","Broctus","Pessagno and Whalen 1982","64674","8792","extinct",36,"Radiozoa","Polycystinea","Nassellaria","Bagotidae","Broctus","Broctus selwynensis",199.5,192.9,184.2,182.9,"Sinemurian","Toarcian","Broctus","442"
"421","421","txn","genus","Archaeodictyomitra","Pessagno 1977","64604","6930","extinct",934,"Radiozoa","Polycystinea","Nassellaria","Archaeodictyomitridae","Archaeodictyomitra",,192.9,184.2,61.66,59.24,"Pliensbachian","Selandian","Archaeodictyomitra","421"
"497","497","txn","genus","Dictyomitra","Zittel 1876","64604","6930","extinct",416,"Radiozoa","Polycystinea","Nassellaria","Archaeodictyomitridae","Dictyomitra",,247,237,61.66,59.24,,,"Dictyomitra","497"
"498","498","txn","genus","Dictyomitrella","Haeckel 1887","64253","6930","extant",69,"Radiozoa","Polycystinea","Nassellaria","Parvicingulidae","Dictyomitrella","Dictyomitrella articulatum",205.7,201.4,165.3,154.8,"Rhaetian","Oxfordian","Dictyomitrella","498"
"452","452","txn","genus","Canoptum","Pessagno et al. 1979","86390","42384","extinct",652,"Radiozoa","Polycystinea","Nassellaria","Parvicingulidae","Canoptum","Canoptum poissoni",247,241.464,137.05,132.6,,,"Canoptum","452"
"414","414","txn","genus","Amphipyndax","Foreman 1966","66331","6930","extant",203,"Radiozoa","Polycystinea","Nassellaria","Amphipyndacidae","Amphipyndax",,165.3,154.8,61.66,59.24,"Callovian","Selandian","Amphipyndax","414"
"463","463","txn","genus","Cinguloturris","Dumitrica and Mello 1982","66329","32633","extinct",170,"Radiozoa","Polycystinea","Nassellaria","Canoptidae","Cinguloturris","Cinguloturris carpatica",168.6,165.3,137.05,132.6,"Bajocian","Valanginian","Cinguloturris","463"
"495","495","txn","genus","Dicolocapsa","Haeckel 1881","65989","6930","extinct",5,"Radiozoa","Polycystinea","Nassellaria","Syringocapsidae","Dicolocapsa",,192.9,184.2,125.77,121.4,"Pliensbachian","Barremian","Dicolocapsa","495"
"494","494","txn","genus","Dibolachras","Foreman 1973","65989","6930","extinct",49,"Radiozoa","Polycystinea","Nassellaria","Syringocapsidae","Dibolachras",,161.5,154.8,125.77,119.57,"Oxfordian","Aptian","Dibolachras","494"
