"index","phylum","class","order","genus","fauna","interval_max","interval_min","max_ma","min_ma","max_ma_2022","min_ma_2022","cl_gn","pbdb_phylum","pbdb_class","pbdb_order","pbdb_family","pbdb_genus","pbdb_accepted_no"
1,"Actinopoda","Acantharia","uncertain","Astrolithium",,"Aquitanian","Meghalayan",23.04,0,23.03,0,"Acantharia_Astrolithium",,,,,,
2,"Actinopoda","Acantharia","uncertain","Chiastolus",,"Ypresian","Meghalayan",56,0,56,0,"Acantharia_Chiastolus",,,,,,
3,"Actinopoda","Radiolaria","incertae sedis","Raphidociclicus",,"Roadian","Capitanian",274.4,259.857,273.01,259.51,"Radiolaria_Raphidociclicus",,,,,,
4,"Actinopoda","Radiolaria","Nassellaria","Abnormisphaera",,"Carnian","Rhaetian",237,201.4,237,201.4,"Radiolaria_Abnormisphaera",,,,,,
5,"Actinopoda","Radiolaria","Nassellaria","Acanthocircus",,"Carnian","Maastrichtian",237,66,237,66,"Radiolaria_Acanthocircus",,,,,,
6,"Actinopoda","Radiolaria","Nassellaria","Acerahedrina",,"Aquitanian","Messinian",23.04,5.333,23.03,5.333,"Radiolaria_Acerahedrina",,,,,,
7,"Actinopoda","Radiolaria","Nassellaria","Acerocanium",,"Aquitanian","Messinian",23.04,5.333,23.03,5.333,"Radiolaria_Acerocanium",,,,,,
8,"Actinopoda","Radiolaria","Nassellaria","Acidnomelos",,"Maastrichtian","Maastrichtian",72.2,66,72.1,66,"Radiolaria_Acidnomelos",,,,,,
9,"Actinopoda","Radiolaria","Nassellaria","Acotripus",,"Hettangian","Tithonian",201.4,143.1,201.4,145,"Radiolaria_Acotripus",,,,,,
10,"Actinopoda","Radiolaria","Nassellaria","Acrobotrys",,"Tortonian","Meghalayan",11.63,0,11.63,0,"Radiolaria_Acrobotrys",,,,,,
11,"Actinopoda","Radiolaria","Nassellaria","Acrospyris",,"Ypresian","Meghalayan",56,0,56,0,"Radiolaria_Acrospyris",,,,,,
12,"Actinopoda","Radiolaria","Nassellaria","Aegospyris",,"Ypresian","Meghalayan",56,0,56,0,"Radiolaria_Aegospyris",,,,,,
13,"Actinopoda","Radiolaria","Nassellaria","Alievium",,"Callovian","Maastrichtian",165.3,66,165.3,66,"Radiolaria_Alievium",,,,,,
14,"Actinopoda","Radiolaria","Nassellaria","Amphipyndax",,"Aptian","Maastrichtian",121.4,66,121.4,66,"Radiolaria_Amphipyndax",,,,,,
15,"Actinopoda","Radiolaria","Nassellaria","Andromeda",,"Hettangian","Tithonian",201.4,143.1,201.4,145,"Radiolaria_Andromeda",,,,,,
16,"Actinopoda","Radiolaria","Nassellaria","Antarctissa",,"Aquitanian","Meghalayan",23.04,0,23.03,0,"Radiolaria_Antarctissa",,,,,,
17,"Actinopoda","Radiolaria","Nassellaria","Anthocyrtidium",,"Aquitanian","Meghalayan",23.04,0,23.03,0,"Radiolaria_Anthocyrtidium",,,,,,
18,"Actinopoda","Radiolaria","Nassellaria","Anthocyrtis",,"Greenlandian","Meghalayan",0.0117,0,0.0117,0,"Radiolaria_Anthocyrtis",,,,,,
19,"Actinopoda","Radiolaria","Nassellaria","Anthocyrtoma",,"Danian","Meghalayan",66,0,66,0,"Radiolaria_Anthocyrtoma",,,,,,
20,"Actinopoda","Radiolaria","Nassellaria","Anthospyris",,"Ypresian","Meghalayan",56,0,56,0,"Radiolaria_Anthospyris",,,,,,
21,"Actinopoda","Radiolaria","Nassellaria","Archaeodictyomitra",,"Toarcian","Maastrichtian",184.2,66,184.2,66,"Radiolaria_Archaeodictyomitra",,,,,,
22,"Actinopoda","Radiolaria","Nassellaria","Archeeucyrtis",,"Ladinian","Norian",241.464,205.7,242,208.5,"Radiolaria_Archeeucyrtis",,,,,,
23,"Actinopoda","Radiolaria","Nassellaria","Archicorys",,"Tithonian","Meghalayan",149.2,0,149.2,0,"Radiolaria_Archicorys",,,,,,
24,"Actinopoda","Radiolaria","Nassellaria","Artocapsa",,"Tithonian","Meghalayan",149.2,0,149.2,0,"Radiolaria_Artocapsa",,,,,,
25,"Actinopoda","Radiolaria","Nassellaria","Artoperina",,"Ypresian","Meghalayan",56,0,56,0,"Radiolaria_Artoperina",,,,,,
26,"Actinopoda","Radiolaria","Nassellaria","Artophormis",,"Bartonian","Aquitanian",41.03,20.45,41.2,20.44,"Radiolaria_Artophormis",,,,,,
27,"Actinopoda","Radiolaria","Nassellaria","Artostrobium",,"Campanian","Meghalayan",83.6,0,83.6,0,"Radiolaria_Artostrobium",,,,,,
28,"Actinopoda","Radiolaria","Nassellaria","Artostrobus",,"Ypresian","Meghalayan",56,0,56,0,"Radiolaria_Artostrobus",,,,,,
29,"Actinopoda","Radiolaria","Nassellaria","Bagotum",,"Hettangian","Bajocian",201.4,168.2,201.4,168.2,"Radiolaria_Bagotum",,,,,,
