level,t1,t2,group,freq1,freq2,m2,use_this,notes
class,Pteraspidomorphi,Pteraspidomorpha,Chordata,1,626,0,t2,
order,Eocaridacea,Eocarida,Malacostraca,1,8,0,t2,"Eocarida is a suborder, but given frequencies we will use it here."
order,Polydesmida,Platydesmida,Myriapoda,17,3,0.181818181818182,no_change,These are indeed separate orders
order,Tarachoptera,Trichoptera,Insecta,10,653,0.1,no_change,These are indeed separate orders
order,Spiriferinida,Spiriferida,Rhynchonellata,5729,16796,0.333333333333333,no_change,These are indeed separate orders
order,Craniopsida,Craniida,Craniata,405,838,0.444444444444444,no_change,These are indeed separate orders
order,Astrapidiformes,Astraspidiformes,Pteraspidomorpha,15,12,0,t2,T1 is a misspelling
order,Omalodontiformes,Orodontiformes,Chondrichthyes,4,11,0.230769230769231,no_change,These are indeed separate orders
order,Helodontiformes,Hybodontiformes,Chondrichthyes,21,1407,0.214285714285714,no_change,These are indeed separate orders
order,Squatiniformes,Squatinactiformes,Chondrichthyes,414,1,0.0714285714285714,no_change,These are indeed separate orders
order,Squaliformes,Squatiniformes,Chondrichthyes,883,414,0.214285714285714,no_change,These are indeed separate orders
order,Osteolepiformes,Osteolepidiformes,Osteichthyes,17,95,0.0833333333333334,t1,T2 is a misspelling
order,Lampriformes,Labriformes,Osteichthyes,8,164,0.272727272727273,no_change,These are indeed separate orders
order,Lampridiformes,Lampriformes,Osteichthyes,4,8,0.272727272727273,t2,T1 is a misspelling
order,Hanyangaspidiformes,Huananaspidiformes,Galeaspidomorphi,21,21,0.2,no_change,These are indeed separate orders
order,Paleonisciformes,Palaeonisciformes,Actinopterygii,1,773,0,t2,T1 is a misspelling
order,Araeosceloidea,Araeoscelidia,Reptilia,2,7,0,t2,T1 is a misspelling
order,Mesitornithiformes,Mystiornithiformes,Aves,1,1,0.0833333333333334,no_change,These are indeed separate orders
order,Piciformes,Psittaciformes,Aves,126,216,0.181818181818182,no_change,These are indeed separate orders
order,Desmostylia,Desmostyloidea,Mammalia,10,171,0.0909090909090909,no_change,These are indeed separate orders
order,Conularina,Conulariida,Scyphozoa,33,415,0.111111111111111,t2,T1 is a misspelling
order,Holocrinida,Homocrinida,Crinoidea,90,489,0.2,no_change,These are indeed separate orders
order,Dendrocrinina,Dendrocrinida,Crinoidea,179,393,0,no_change,Unsure if are different so leave unchanged.
order,Ophiurida,Oegophiurida,Ophiuroidea,338,105,0.272727272727273,,
order,Cassiduloidea,Cassiduloida,Echinoidea,2,408,0.111111111111111,t2,T1 is a superfamily within T2
order,Lychniscosida,Lychniscosa,Hexactinellida,2,721,0.111111111111111,t2,"Spelling variants, using more common spelling in PBDB"
order,Monalithistida,Megalithistida,Demospongiae,35,113,0.333333333333333,no_change,Unsure if are different so leave unchanged.
order,Stromatoporellida,Stromatoporida,Stromatoporoidea,550,421,0.272727272727273,no_change,These are indeed separate orders
order,Pholadida,Pholadomyida,Bivalvia,7390,2925,0.222222222222222,no_change,These are indeed separate orders
order,Cardiida,Carditida,Bivalvia,16019,9971,0.166666666666667,no_change,These are indeed separate orders
order,Heterostrophia,Heterostropha,Gastropoda,120,7258,0.2,t2,T1 is a misspelling?? by Sepkoski
order,Cephalaspida,Cephalaspidea,Gastropoda,123,2750,0,t2,"T1 is a misspelling, but it's also a fish order"
order,Aulacocerida,Aulacoceratida,Cephalopoda,45,130,0.0909090909090909,t2,T1 is likely a misspelling
order,Phylloceratitida,Phylloceratida,Cephalopoda,1,4394,0.0833333333333334,t2,T1 is a suborder with in T2
family,Namanoiidae,Naraoiidae,No,9,144,0.444444444444444,,
family,Anaspididae,Amgaspididae,No,1,8,0.3,,
family,Karaunguriidae,Karaungiridae,No,2,1,0.111111111111111,,
family,Triadophlebiidae,Tarsophlebiidae,No,2,23,0.0833333333333334,,
family,Baenidae,Batkeniidae,No,347,2,0.25,,
family,Troodontidae,Toxodotidae,No,185,1,0.4,,
family,Carinariidae,Cardiarinidae,No,12,1,0,,
family,Protosuchidae,Proterosuchidae,No,22,20,0,,
family,Osteolepididae,Osteolepidae,No,22,8,0.1,,
family,Spinosauridae,Scincosauridae,No,55,4,0.166666666666667,,
family,Sphaerodomidae,Sphaerodontidae,No,6,11,0.25,,
family,Allosauridae,Ankylosauridae,No,2,120,0.230769230769231,,
family,Balochisauridae,Brachiosauridae,No,20,71,0.0833333333333334,,
family,Teratosauridae,Telmatosauridae,No,2,25,0.166666666666667,,
family,Pleuroceridae,Pleurosternidae,No,34,92,0.307692307692308,,
family,Dyrosauridae,Dryosauridae,No,58,38,0,,
family,Chaetodontidae,Ceratodontidae,No,8,171,0.2,,
family,Scansoriopterygidae,Sinosauropterygidae,No,3,5,0.133333333333333,,
family,Aipichthyidae,Aipichthyoididae,No,10,2,0.0909090909090909,,
family,Erinaceoidae,Erinaceidae,No,24,729,0.111111111111111,,
family,Pyrotheridae,Pyrotheriidae,No,14,12,0,,
family,Epitoniidae,Epigonidae,No,1599,28,0.3,,
family,Pygasteridae,Pygaeidae,No,17,1,0.4,,
family,Isorophinidae,Isorophidae,No,2,18,0.272727272727273,,
family,Helicocystitidae,Hemicystitidae,No,3,35,0.333333333333333,,
family,Blothrocrinidae,Botryocrinidae,No,31,55,0.307692307692308,,
family,Erisocrinidae,Edriocrinidae,No,42,5,0.1,,
family,Apektocrinidae,Aethocrinidae,No,1,3,0.230769230769231,,
family,Helminthoglyptidae,Helminthophyllidae,No,12,1,0.0714285714285714,,
family,Thiaridae,Thoraliidae,No,400,6,0.222222222222222,,
family,Eucyclidae,Eucochlidae,No,748,19,0.272727272727273,,
family,Litiopidae,Liotiidae,No,100,161,0.25,,
family,Protoculidae,Protorculidae,No,18,97,0,,
family,Protoculidae,Proconulidae,No,18,81,0.166666666666667,,
family,Pleuroceriidae,Pleuroceridae,No,1,34,0,,
family,Redlichinidae,Redlichiidae,Redlichiida,23,240,0.111111111111111,,
family,Illaenidae,Illaenuridae,Corynexochida,1122,109,0.222222222222222,,
family,Remopleuridae,Remopleurididae,Asaphida,13,1166,0,,
family,Beyrichiopsidae,Beyrichiidae,Palaeocopida,18,308,0.416666666666667,,
family,Tricornidae,Tricorninidae,Podocopida,10,18,0,,
family,Cytheruridae,Cytheridae,Podocopida,775,219,0.2,,
family,Cyprideidae,Cyprididae,Podocopida,42,75,0,,
family,Euprimitidae,Euprimitiidae,Hollinocopida,2,142,0,,
family,Palaeoeuscorpiidae,Palaeoscorpionidae,Scorpiones,4,1,0.153846153846154,,
family,Pareobuthidae,Palaeobuthidae,Scorpiones,1,2,0.166666666666667,,
family,Pylochelidae,Polychelidae,Decapoda,8,3,0,,
family,Platychelidae,Polychelidae,Decapoda,4,3,0.181818181818182,,
family,Palaemoninae,Palaemonidae,Decapoda,2,15,0.111111111111111,,
family,Porcellanidea,Porcellanidae,Decapoda,1,75,0,t2,T1 is a misspelling
family,Munidopsidae,Munididae,Decapoda,37,24,0.5,,
family,Cancrinidae,Carcinidae,Decapoda,5,160,0.125,,
family,Cancridae,Carcinidae,Decapoda,302,160,0,,
family,Calcinidae,Carcinidae,Decapoda,3,160,0.222222222222222,,
family,Cancridae,Cancrinidae,Decapoda,302,5,0,,
family,Inachidae,Inachoididae,Decapoda,4,14,0.111111111111111,,
family,Cypridinelliformidae,Cypridinellidae,Myodocopida,15,3,0.25,,
family,Stolotermitidae,Stylotermitidae,Blattodea,3,10,0.0909090909090909,,
family,Locustidae,Locustopsidae,Orthoptera,2,74,0.0909090909090909,,
family,Sphaeromatidae,Sphaeromidae,Isopoda,8,6,0.0909090909090909,,
family,Armadilliidae,Armadillidiidae,Isopoda,1,2,0,,
family,Panorpodidae,Panorpidae,Mecoptera,6,7,0.111111111111111,,
family,Anthicidae,Anthribidae,Coleoptera,24,67,0.272727272727273,,
family,Ameletidae,Ameletopsidae,Ephemeroptera,3,4,0.272727272727273,,
family,Baetiscidae,Baetidae,Ephemeroptera,6,12,0.375,,
family,Protopsyllidiidae,Permopsyllidiidae,Hemiptera,35,23,0.153846153846154,,
family,Postopsyllidiidae,Protopsyllidiidae,Hemiptera,4,35,0.0833333333333334,,
family,Sinaphididae,Simulaphididae,Hemiptera,2,1,0.363636363636364,,
family,Cercopidae,Cercopionidae,Hemiptera,50,1,0.1,,
family,Fulgoridae,Fulgoridiidae,Hemiptera,24,23,0,,
family,Aleyrodidae,Alydidae,Hemiptera,36,11,0.333333333333333,,
family,Sinaphididae,Sinojuraphididae,Hemiptera,2,1,0.333333333333333,,
family,Berytidae,Berstidae,Hemiptera,4,1,0.222222222222222,,
family,Apachelytridae,Archelytridae,Protelytroptera,1,2,0.0833333333333334,,
family,Salticidae,Salticoididae,Araneae,72,4,0.111111111111111,,
family,Ctenidae,Ctenizidae,Araneae,1,3,0.125,,
family,Libanogomphidae,Liassogomphidae,Odonata,1,25,0.230769230769231,,
family,Enigmalestidae,Enigmaeshnidae,Odonata,1,1,0.25,,
family,Eodysagrionidae,Eosagrionidae,Odonata,4,1,0.181818181818182,,
family,Bethylidae,Bethylonymidae,Hymenoptera,108,13,0.25,,
family,Ichneumonomimidae,Ichneumonidae,Hymenoptera,2,318,0.181818181818182,,
family,Ceidae,Cephidae,Hymenoptera,2,6,0.285714285714286,,
family,Bolbomyiidae,Bombyliidae,Diptera,3,67,0.1,,
family,Anthomyzidae,Anthomyiidae,Diptera,5,3,0.0833333333333334,,
family,Mantoididae,Mantidae,Mantodea,2,4,0.25,,
family,Cormopsocidae,Compsocidae,Psocodea,5,6,0.181818181818182,,
family,Elipsocidae,Epipsocidae,Psocodea,4,6,0.1,,
family,Sminthurididae,Sminthuridae,Symphypleona,2,18,0.181818181818182,,
family,Chonopectidae,Chonetidae,Productida,11,1617,0.363636363636364,,
family,Productinidae,Productidae,Productida,666,2780,0.272727272727273,,
family,Elythynidae,Elythidae,Spiriferida,21,1679,0.3,,
family,Megathyrididae,Meganterididae,Terebratulida,388,134,0.272727272727273,,
family,Mosaethyrididae,Megathyrididae,Terebratulida,6,388,0.25,,
family,Platyorthidae,Platystrophiidae,Orthida,134,1312,0.153846153846154,,
family,Strophonellidae,Strophomenidae,Strophomenida,251,1510,0.153846153846154,,
family,Stropheodontidae,Strophodontidae,Strophomenida,4,831,0,,
family,Atrypidae,Atrypinidae,Atrypida,2572,991,0.1,,
