genus_to_fix,genus_class,genus_order,genus_family
Bakevellia,,Ostreida,Bakevelliidae
Didymoceras,,Ammonitida,Nostoceratidae
Forolinia,,Labechiida,Rosenellidae
Frechastraea,,Stauriida,Phillipsastreidae
Glycymeris,,Arcida,Glycymerididae
Hipparionix,,,Orthotetidae
Itieria,,Heterostropha,Nerineidae
Mesodiadema,,Diadematoida,Diadematidae
Nanogyra,,Ostreida,Gryphaeidae
Porcellana,,Porcellanidae,
Pterynotus,,Neogastropoda,Muricidae
Rossella,,,Rossellidae
Strophomena,,,Strophomenidae
Thamnasteria,,,Thamnasteriidae
Tiberia,,,Pyramidellidae
