era,period,epoch,name,max_age,min_age,abbr,color,lab_color
Cenozoic,Quaternary,Holocene,Meghalayan,0.0042,0,Mg,#FEF2E0,black
Cenozoic,Quaternary,Holocene,Northgrippian,0.0082,0.0042,Nrt,#FEF2E0,black
Cenozoic,Quaternary,Holocene,Greenlandian,0.0117,0.0082,Grn,#FEF2E0,black
Cenozoic,Quaternary,Pleistocene,Late Pleistocene,0.129,0.0117,LP,#FFF2C7,black
Cenozoic,Quaternary,Pleistocene,Chibanian,0.774,0.129,Chb,#FFF2C7,black
Cenozoic,Quaternary,Pleistocene,Calabrian,1.8,0.774,Clb,#FFF2C7,black
Cenozoic,Quaternary,Pleistocene,Gelasian,2.58,1.8,Gl,#FFEDB3,black
Cenozoic,Neogene,Pliocene,Piacenzian,3.6,2.58,Pc,#FFFFBF,black
Cenozoic,Neogene,Pliocene,Zanclean,5.333,3.6,Z,#FFFFB3,black
Cenozoic,Neogene,Miocene,Messinian,7.246,5.333,Mss,#FFFF73,black
Cenozoic,Neogene,Miocene,Tortonian,11.63,7.246,Trt,#FFFF66,black
Cenozoic,Neogene,Miocene,Serravallian,13.82,11.63,Srr,#FFFF59,black
Cenozoic,Neogene,Miocene,Langhian,15.98,13.82,Ln,#FFFF4D,black
Cenozoic,Neogene,Miocene,Burdigalian,20.45,15.98,Brd,#FFFF41,black
Cenozoic,Neogene,Miocene,Aquitanian,23.04,20.45,Aq,#FFFF33,black
Cenozoic,Paleogene,Oligocene,Chattian,27.3,23.04,Cht,#FEE6AA,black
Cenozoic,Paleogene,Oligocene,Rupelian,33.9,27.3,Rp,#FED99A,black
Cenozoic,Paleogene,Eocene,Priabonian,37.71,33.9,Prb,#FDCDA1,black
Cenozoic,Paleogene,Eocene,Bartonian,41.03,37.71,Brt,#FDC091,black
Cenozoic,Paleogene,Eocene,Lutetian,48.07,41.03,Lt,#FCB482,black
Cenozoic,Paleogene,Eocene,Ypresian,56,48.07,Y,#FCA773,black
Cenozoic,Paleogene,Paleocene,Thanetian,59.24,56,Th,#FDBF6F,black
Cenozoic,Paleogene,Paleocene,Selandian,61.66,59.24,Sl,#FEBF65,black
Cenozoic,Paleogene,Paleocene,Danian,66,61.66,Dn,#FDB462,black
Mesozoic,Cretaceous,Late Cretaceous,Maastrichtian,72.2,66,Mst,#F2FA8C,black
Mesozoic,Cretaceous,Late Cretaceous,Campanian,83.6,72.2,Cm,#E6F47F,black
Mesozoic,Cretaceous,Late Cretaceous,Santonian,85.7,83.6,Snt,#D9EF74,black
Mesozoic,Cretaceous,Late Cretaceous,Coniacian,89.8,85.7,Cnc,#CCE968,black
Mesozoic,Cretaceous,Late Cretaceous,Turonian,93.9,89.8,Trnn,#BFE35D,black
Mesozoic,Cretaceous,Late Cretaceous,Cenomanian,100.5,93.9,Cnm,#B3DE53,black
Mesozoic,Cretaceous,Early Cretaceous,Albian,113.2,100.5,Alb,#CCEA97,black
Mesozoic,Cretaceous,Early Cretaceous,Aptian,121.4,113.2,Ap,#BFE48A,black
Mesozoic,Cretaceous,Early Cretaceous,Barremian,125.77,121.4,Brrm,#B3DF7F,black
Mesozoic,Cretaceous,Early Cretaceous,Hauterivian,132.6,125.77,Htr,#A6D975,black
Mesozoic,Cretaceous,Early Cretaceous,Valanginian,137.05,132.6,Vl,#99D36A,black
Mesozoic,Cretaceous,Early Cretaceous,Berriasian,143.1,137.05,Brrs,#8CCD60,black
Mesozoic,Jurassic,Late Jurassic,Tithonian,149.2,143.1,Tt,#D9F1F7,black
Mesozoic,Jurassic,Late Jurassic,Kimmeridgian,154.8,149.2,Km,#CCECF4,black
Mesozoic,Jurassic,Late Jurassic,Oxfordian,161.5,154.8,Ox,#BFE7F1,black
Mesozoic,Jurassic,Middle Jurassic,Callovian,165.3,161.5,Cll,#BFE7E5,black
Mesozoic,Jurassic,Middle Jurassic,Bathonian,168.2,165.3,Bt,#B3E2E3,black
Mesozoic,Jurassic,Middle Jurassic,Bajocian,170.9,168.2,Bj,#A6DDE0,black
Mesozoic,Jurassic,Middle Jurassic,Aalenian,174.7,170.9,Aln,#9AD9DD,black
Mesozoic,Jurassic,Early Jurassic,Toarcian,184.2,174.7,Trc,#99CEE3,black
Mesozoic,Jurassic,Early Jurassic,Pliensbachian,192.9,184.2,Pl,#80C5DD,black
Mesozoic,Jurassic,Early Jurassic,Sinemurian,199.5,192.9,Snm,#67BCD8,black
Mesozoic,Jurassic,Early Jurassic,Hettangian,201.4,199.5,Htt,#4EB3D3,black
Mesozoic,Triassic,Late Triassic,Rhaetian,205.7,201.4,Rht,#E3B9DB,black
Mesozoic,Triassic,Late Triassic,Norian,227.3,205.7,Nrn,#D6AAD3,black
Mesozoic,Triassic,Late Triassic,Carnian,237,227.3,Cr,#C99BCB,black
