"interval_no","color","Era","Period","Epoch","interval_name","age_bottom","age_top","age_mid"
1200,"#FEF2E0","Cenozoic","Quaternary","Holocene","Meghalayan",0.0042,0,0.002
1201,"#FEF2E0","Cenozoic","Quaternary","Holocene","Northgrippian",0.0082,0.0042,0.006
1202,"#FEF2E0","Cenozoic","Quaternary","Holocene","Greenlandian",0.0117,0.0082,0.01
922,"#FFF2C7","Cenozoic","Quaternary","Pleistocene","Late Pleistocene",0.129,0.0117,0.07
1203,"#FFF2C7","Cenozoic","Quaternary","Pleistocene","Chibanian",0.774,0.129,0.452
740,"#FFF2C7","Cenozoic","Quaternary","Pleistocene","Calabrian",1.8,0.774,1.287
741,"#FFEDB3","Cenozoic","Quaternary","Pleistocene","Gelasian",2.58,1.8,2.19
96,"#FFFFBF","Cenozoic","Neogene","Pliocene","Piacenzian",3.6,2.58,3.09
97,"#FFFFB3","Cenozoic","Neogene","Pliocene","Zanclean",5.333,3.6,4.466
98,"#FFFF73","Cenozoic","Neogene","Miocene","Messinian",7.246,5.333,6.29
99,"#FFFF66","Cenozoic","Neogene","Miocene","Tortonian",11.63,7.246,9.438
100,"#FFFF59","Cenozoic","Neogene","Miocene","Serravallian",13.82,11.63,12.725
101,"#FFFF4D","Cenozoic","Neogene","Miocene","Langhian",15.98,13.82,14.9
102,"#FFFF41","Cenozoic","Neogene","Miocene","Burdigalian",20.45,15.98,18.215
103,"#FFFF33","Cenozoic","Neogene","Miocene","Aquitanian",23.04,20.45,21.745
104,"#FEE6AA","Cenozoic","Paleogene","Oligocene","Chattian",27.3,23.04,25.17
105,"#FED99A","Cenozoic","Paleogene","Oligocene","Rupelian",33.9,27.3,30.6
106,"#FDCDA1","Cenozoic","Paleogene","Eocene","Priabonian",37.71,33.9,35.805
107,"#FDC091","Cenozoic","Paleogene","Eocene","Bartonian",41.03,37.71,39.37
108,"#FCB482","Cenozoic","Paleogene","Eocene","Lutetian",48.07,41.03,44.55
109,"#FCA773","Cenozoic","Paleogene","Eocene","Ypresian",56,48.07,52.035
110,"#FDBF6F","Cenozoic","Paleogene","Paleocene","Thanetian",59.24,56,57.62
743,"#FEBF65","Cenozoic","Paleogene","Paleocene","Selandian",61.66,59.24,60.45
111,"#FDB462","Cenozoic","Paleogene","Paleocene","Danian",66,61.66,63.83
112,"#F2FA8C","Mesozoic","Cretaceous","Late Cretaceous","Maastrichtian",72.2,66,69.1
113,"#E6F47F","Mesozoic","Cretaceous","Late Cretaceous","Campanian",83.6,72.2,77.9
114,"#D9EF74","Mesozoic","Cretaceous","Late Cretaceous","Santonian",85.7,83.6,84.65
115,"#CCE968","Mesozoic","Cretaceous","Late Cretaceous","Coniacian",89.8,85.7,87.75
116,"#BFE35D","Mesozoic","Cretaceous","Late Cretaceous","Turonian",93.9,89.8,91.85
117,"#B3DE53","Mesozoic","Cretaceous","Late Cretaceous","Cenomanian",100.5,93.9,97.2
118,"#CCEA97","Mesozoic","Cretaceous","Early Cretaceous","Albian",113.2,100.5,106.85
119,"#BFE48A","Mesozoic","Cretaceous","Early Cretaceous","Aptian",121.4,113.2,117.3
120,"#B3DF7F","Mesozoic","Cretaceous","Early Cretaceous","Barremian",125.77,121.4,123.585
121,"#A6D975","Mesozoic","Cretaceous","Early Cretaceous","Hauterivian",132.6,125.77,129.185
122,"#99D36A","Mesozoic","Cretaceous","Early Cretaceous","Valanginian",137.05,132.6,134.825
123,"#8CCD60","Mesozoic","Cretaceous","Early Cretaceous","Berriasian",143.1,137.05,140.075
124,"#D9F1F7","Mesozoic","Jurassic","Late Jurassic","Tithonian",149.2,143.1,146.15
125,"#CCECF4","Mesozoic","Jurassic","Late Jurassic","Kimmeridgian",154.8,149.2,152
126,"#BFE7F1","Mesozoic","Jurassic","Late Jurassic","Oxfordian",161.5,154.8,158.15
127,"#BFE7E5","Mesozoic","Jurassic","Middle Jurassic","Callovian",165.3,161.5,163.4
128,"#B3E2E3","Mesozoic","Jurassic","Middle Jurassic","Bathonian",168.2,165.3,166.75
129,"#A6DDE0","Mesozoic","Jurassic","Middle Jurassic","Bajocian",170.9,168.2,169.55
130,"#9AD9DD","Mesozoic","Jurassic","Middle Jurassic","Aalenian",174.7,170.9,172.8
131,"#99CEE3","Mesozoic","Jurassic","Early Jurassic","Toarcian",184.2,174.7,179.45
132,"#80C5DD","Mesozoic","Jurassic","Early Jurassic","Pliensbachian",192.9,184.2,188.55
133,"#67BCD8","Mesozoic","Jurassic","Early Jurassic","Sinemurian",199.5,192.9,196.2
134,"#4EB3D3","Mesozoic","Jurassic","Early Jurassic","Hettangian",201.4,199.5,200.45
135,"#E3B9DB","Mesozoic","Triassic","Late Triassic","Rhaetian",205.7,201.4,203.55
136,"#D6AAD3","Mesozoic","Triassic","Late Triassic","Norian",227.3,205.7,216.5
137,"#C99BCB","Mesozoic","Triassic","Late Triassic","Carnian",237,227.3,232.15
138,"#C983BF","Mesozoic","Triassic","Middle Triassic","Ladinian",241.464,237,239.232
139,"#BC75B7","Mesozoic","Triassic","Middle Triassic","Anisian",247,241.464,244.232
652,"#B051A5","Mesozoic","Triassic","Early Triassic","Olenekian",250.8,247,248.9
653,"#A4469F","Mesozoic","Triassic","Early Triassic","Induan",251.902,250.8,251.351
